Test Data File:C:/Users/Salar/Desktop/New folder/RC6_P8K8 Binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency Test (Monobit)                      	0.7437634428665687  	Random
02. Frequency Test within a Block                 	0.70025455115991    	Random
03. Run Test                                      	0.4016213884096367  	Random
04. Longest Run of Ones in a Block                	0.9208536586882317  	Random
05. Binary Matrix Rank Test                       	0.39530549880779403 	Random
06. Discrete Fourier Transform (Spectral) Test    	0.6202103731243248  	Random
07. Non-Overlapping Template Matching Test        	0.4063834718135568  	Random
08. Overlapping Template Matching Test            	0.3356317866362538  	Random
09. Maurer's Universal Statistical test           	-1.0                	Non-Random
10. Linear Complexity Test                        	0.32949820091046456 	Random
11. Serial test:
													0.8642095162482333  	Random
													0.6330861643401563  	Random
12. Approximate Entropy Test                      	0.7502677773422642  	Random
13. Cummulative Sums (Forward) Test               	0.8812476272864763  	Random
14. Cummulative Sums (Reverse) Test               	0.8705495912600532  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	5.826322365680967   	0.3234870497822985  	Random
				-3        	4.3555093078758915  	0.4994453009316122  	Random
				-2        	2.017354665723799   	0.8467385137477524  	Random
				-1        	3.0572792362768495  	0.6911553015331352  	Random
				+1        	2.947494033412888   	0.70808059774052    	Random
				+2        	8.607649017354666   	0.12577479689298576 	Random
				+3        	7.155089260143195   	0.20935929099952116 	Random
				+4        	10.729903709572085  	0.05700612899135283 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	309                 	0.35673310715081985 	Random
				-8.0      	337                 	0.4645438557034899  	Random
				-7.0      	336                 	0.42648861451531683 	Random
				-6.0      	332                 	0.3648555736534731  	Random
				-5.0      	384                 	0.6869347528238156  	Random
				-4.0      	425                 	0.9375580799375715  	Random
				-3.0      	427                 	0.9016399910056349  	Random
				-2.0      	441                 	0.6608259170651813  	Random
				-1.0      	436                 	0.5570322871540618  	Random
				+1.0      	428                 	0.7558767652520312  	Random
				+2.0      	454                 	0.4851470550772946  	Random
				+3.0      	499                 	0.21649611443053918 	Random
				+4.0      	570                 	0.048661973735682484	Random
				+5.0      	563                 	0.09729072814729056 	Random
				+6.0      	513                 	0.327550118020828   	Random
				+7.0      	465                 	0.6594146967371088  	Random
				+8.0      	403                 	0.8865197539380724  	Random
				+9.0      	381                 	0.7502015178128728  	Random
